objectID,dimensionType,dimension,unitName
34055,height,68.2,centimeters
34057,width,56.2,centimeters
34057,height,68.9,centimeters
34059,width,63.6,centimeters
34059,height,77.0,centimeters
34060,width,63.5,centimeters
34060,height,76.2,centimeters
34061,width,63.5,centimeters
34061,height,77.5,centimeters
34062,width,63.2,centimeters
34062,height,76.2,centimeters
34076,width,63.3,centimeters
34076,height,75.2,centimeters
34064,width,63.5,centimeters
34064,height,76.5,centimeters
34065,width,41.0,centimeters
34065,height,51.4,centimeters
34066,width,46.0,centimeters
34066,height,61.3,centimeters
34072,width,63.8,centimeters
34072,height,76.2,centimeters
34083,width,38.4,centimeters
34083,height,48.9,centimeters
34085,width,68.7,centimeters
34085,height,86.5,centimeters
34092,width,61.6,centimeters
34092,height,76.5,centimeters
34093,width,56.6,centimeters
34093,height,68.9,centimeters
34096,width,71.8,centimeters
34096,height,93.3,centimeters
34104,width,63.3,centimeters
34104,height,76.5,centimeters
34105,width,58.9,centimeters
34105,height,72.0,centimeters
34110,width,51.1,centimeters
34110,height,61.3,centimeters
34111,width,56.5,centimeters
34111,height,69.2,centimeters
34129,width,63.8,centimeters
34129,height,76.5,centimeters
34115,width,63.6,centimeters
34115,height,76.2,centimeters
34117,width,24.8,centimeters
34117,height,32.8,centimeters
34122,width,96.5,centimeters
34122,height,115.9,centimeters
34125,width,63.8,centimeters
34125,height,76.8,centimeters
34126,width,63.5,centimeters
34126,height,75.5,centimeters
34128,width,64.0,centimeters
34128,height,76.4,centimeters
34130,width,63.0,centimeters
34130,height,76.0,centimeters
34133,width,37.2,centimeters
34133,height,52.4,centimeters
34159,width,40.9,centimeters
34159,height,53.6,centimeters
34135,width,63.0,centimeters
34135,height,76.2,centimeters
34146,width,41.9,centimeters
34146,height,54.6,centimeters
34148,width,91.4,centimeters
34148,height,65.4,centimeters
34154,width,35.5,centimeters
34154,height,43.2,centimeters
34156,width,63.7,centimeters
34156,height,76.7,centimeters
34193,width,56.0,centimeters
34193,height,69.0,centimeters
34641,width,58.8,centimeters
34641,height,46.5,centimeters
35085,width,32.0,centimeters
35085,height,40.5,centimeters
35086,depth,1.0,centimeters
35086,width,40.6,centimeters
35086,height,32.2,centimeters
35090,width,30.3,centimeters
35090,height,19.1,centimeters
35145,width,66.4,centimeters
35145,height,50.8,centimeters
35146,width,90.2,centimeters
35146,height,58.4,centimeters
39761,width,140.4,centimeters
39761,height,188.6,centimeters
39764,width,68.5,centimeters
39764,height,55.5,centimeters
41610,width,92.1,centimeters
41610,height,73.1,centimeters
41692,width,49.3,centimeters
41692,height,62.2,centimeters
41726,width,52.0,centimeters
41726,height,67.0,centimeters
42385,width,81.3,centimeters
42385,height,101.6,centimeters
42392,width,102.2,centimeters
42392,height,127.3,centimeters
42410,width,101.9,centimeters
42410,height,68.6,centimeters
42409,width,55.9,centimeters
42409,height,71.3,centimeters
42414,width,17.6,centimeters
42414,height,22.7,centimeters
42415,width,17.5,centimeters
42415,height,22.9,centimeters
42416,width,17.2,centimeters
42416,height,22.9,centimeters
42417,width,17.0,centimeters
42417,height,21.0,centimeters
42424,width,63.5,centimeters
42424,height,76.2,centimeters
42426,width,83.2,centimeters
42426,height,89.2,centimeters
42427,width,72.1,centimeters
42427,height,101.8,centimeters
42428,width,100.7,centimeters
42428,height,82.9,centimeters
42431,width,71.2,centimeters
42431,height,83.0,centimeters
42432,width,71.2,centimeters
42432,height,82.5,centimeters
42433,width,68.5,centimeters
42433,height,84.7,centimeters
42438,width,67.6,centimeters
42438,height,85.4,centimeters
42439,width,91.5,centimeters
42439,height,66.1,centimeters
42440,width,70.5,centimeters
42440,height,80.0,centimeters
42444,width,25.5,centimeters
42444,height,33.2,centimeters
42446,width,24.3,centimeters
42446,height,34.6,centimeters
42447,width,43.2,centimeters
42447,height,56.2,centimeters
42450,width,63.8,centimeters
42450,height,76.5,centimeters
42451,width,48.9,centimeters
42451,height,59.1,centimeters
42458,width,61.0,centimeters
42458,height,77.0,centimeters
42460,width,76.8,centimeters
42460,height,107.3,centimeters
42462,width,56.3,centimeters
42462,height,66.3,centimeters
42467,width,26.0,centimeters
42467,height,35.6,centimeters
42473,width,24.5,centimeters
42473,height,30.7,centimeters
42479,width,70.5,centimeters
42479,height,80.0,centimeters
42489,width,70.8,centimeters
42489,height,53.3,centimeters
42481,width,40.0,centimeters
42481,height,53.1,centimeters
42483,width,63.3,centimeters
42483,height,75.6,centimeters
42485,width,17.4,centimeters
42485,height,22.7,centimeters
42486,width,17.5,centimeters
42486,height,22.9,centimeters
42494,width,66.4,centimeters
42494,height,51.5,centimeters
42509,width,5.4,centimeters
42509,height,9.8,centimeters
42854,width,104.5,centimeters
42854,height,140.3,centimeters
42914,width,73.8,centimeters
42914,height,91.7,centimeters
42915,width,90.2,centimeters
42915,height,116.8,centimeters
42917,width,56.1,centimeters
42917,height,71.2,centimeters
42918,width,64.2,centimeters
42918,height,76.5,centimeters
42922,width,61.2,centimeters
42922,height,73.8,centimeters
43201,width,63.5,centimeters
43201,height,76.4,centimeters
43436,width,59.5,centimeters
43436,height,81.9,centimeters
43450,width,59.5,centimeters
43450,height,75.0,centimeters
43442,width,59.6,centimeters
43442,height,64.1,centimeters
43443,width,65.0,centimeters
43443,height,31.5,centimeters
43445,width,55.4,centimeters
43445,height,66.0,centimeters
43451,width,60.0,centimeters
43451,height,75.0,centimeters
